proto,sttl,dttl,dloss,Spkts,Dpkts,swin,dwin,smeansz,ct_state_ttl,ct_srv_src,ct_srv_dst,ct_src_dport_ltm,ct_dst_src_ltm,attack_cat,Label
58,254,0,0,2,0,0,0,100,2,4,4,1,4,3,1
1,31,29,7,28,30,255,255,168,0,3,7,1,3,0,0
45,254,0,0,2,0,0,0,100,2,4,4,1,4,7,1
1,31,29,8,52,42,255,255,718,0,1,2,1,1,0,0
0,31,29,0,2,2,0,0,73,0,6,2,1,2,0,0
1,31,29,4,8,12,255,255,53,0,3,3,1,5,0,0
0,254,0,0,2,0,0,0,57,2,37,37,27,37,1,1
0,254,0,0,2,0,0,0,57,2,24,24,24,24,1,1
1,31,29,1,14,6,255,255,638,0,3,3,1,4,0,0
1,31,29,17,46,48,255,255,62,0,2,3,1,2,0,0
0,254,0,0,2,0,0,0,57,2,59,59,59,59,1,1
1,31,29,4,16,18,255,255,96,0,21,13,12,6,0,0
0,254,0,0,2,0,0,0,57,2,27,27,22,27,1,1
0,254,0,0,2,0,0,0,57,2,17,17,17,17,1,1
1,31,29,5,14,18,255,255,120,0,4,1,1,2,0,0
0,254,0,0,2,0,0,0,57,2,66,66,40,66,1,1
0,60,0,0,2,0,0,0,132,0,12,12,6,6,0,0
0,254,0,0,2,0,0,0,57,2,43,43,43,43,1,1
0,60,0,0,2,0,0,0,132,0,6,6,3,3,0,0
1,31,29,16,44,46,255,255,63,0,5,1,1,1,0,0
1,254,252,1,10,8,255,255,53,1,5,5,2,2,0,0
0,254,0,0,2,0,0,0,57,2,21,21,16,21,1,1
0,254,0,0,2,0,0,0,57,2,33,33,16,33,1,1
1,31,29,7,18,18,255,255,236,0,8,6,1,3,0,0
1,62,252,2,10,10,255,255,85,1,1,1,1,1,3,1
0,31,29,0,4,4,0,0,134,0,12,10,1,3,0,0
0,31,29,0,2,2,0,0,73,0,1,2,1,4,0,0
1,31,29,5,14,18,255,255,120,0,3,2,1,1,0,0
1,31,29,8,52,40,255,255,716,0,1,1,1,1,0,0
1,31,29,26,64,66,255,255,59,0,11,3,1,3,0,0
1,254,252,4,16,14,255,255,54,1,6,6,2,6,0,0
0,254,0,0,2,0,0,0,57,2,25,25,25,25,1,1
1,254,60,1,6,2,255,255,43,0,1,1,1,1,0,0
0,254,0,0,2,0,0,0,57,2,9,9,3,3,1,1
0,31,29,0,2,2,0,0,65,0,1,6,1,1,0,0
3,254,0,0,2,0,0,0,100,2,12,12,2,2,3,1
0,254,0,0,2,0,0,0,57,2,16,16,16,16,1,1
0,254,0,0,2,0,0,0,57,2,32,32,24,32,1,1
1,31,29,8,52,42,255,255,715,0,1,1,1,1,0,0
0,31,29,0,4,4,0,0,142,0,4,8,1,2,0,0
0,254,0,0,2,0,0,0,57,2,59,59,58,59,1,1
0,254,0,0,2,0,0,0,57,2,40,40,18,40,1,1
0,254,0,0,2,0,0,0,84,2,1,1,1,1,5,1
1,31,29,1,14,6,255,255,638,0,2,2,1,3,0,0
0,254,0,0,2,0,0,0,57,2,35,35,21,35,1,1
1,254,252,1,10,6,255,255,59,1,4,2,1,2,2,1
0,254,0,0,2,0,0,0,57,2,23,23,13,23,1,1
0,254,0,0,2,0,0,0,57,2,27,27,11,27,1,1
0,254,0,0,2,0,0,0,57,2,13,13,13,14,1,1
0,254,0,0,2,0,0,0,57,2,39,39,18,39,1,1
0,254,0,0,2,0,0,0,57,2,17,17,9,17,1,1
0,254,0,0,2,0,0,0,57,2,31,31,14,31,1,1
1,31,29,32,122,126,255,255,64,0,6,2,2,2,0,0
0,254,0,0,2,0,0,0,57,2,43,43,43,43,1,1
3,254,0,0,2,0,0,0,100,2,7,7,3,7,3,1
1,31,29,4,8,12,255,255,53,0,1,7,1,4,0,0
1,29,31,27,106,104,255,255,100,0,3,1,1,1,0,0
1,31,29,5,12,18,255,255,132,0,1,1,1,1,0,0
1,31,29,6,22,26,255,255,87,0,5,9,1,1,0,0
5,0,0,0,1,0,0,0,46,2,2,2,2,2,0,0
0,31,29,0,2,2,0,0,65,0,3,3,1,1,0,0
0,254,0,0,2,0,0,0,57,2,14,14,7,7,1,1
0,254,0,0,2,0,0,0,57,2,33,33,33,33,1,1
0,31,29,0,2,2,0,0,73,0,2,2,1,1,0,0
0,254,0,0,2,0,0,0,84,2,3,1,1,1,5,1
3,254,0,0,2,0,0,0,100,2,6,6,2,6,4,1
1,31,29,13,38,40,255,255,64,0,10,8,1,3,0,0
0,254,0,0,2,0,0,0,57,2,37,37,22,37,1,1
1,29,31,0,16,10,255,255,1027,0,1,2,1,1,0,0
1,31,29,5,14,18,255,255,120,0,4,1,2,2,0,0
0,254,0,0,2,0,0,0,57,2,37,37,24,37,1,1
0,60,0,0,2,0,0,0,132,0,16,16,8,16,0,0
0,254,0,0,2,0,0,0,57,2,17,17,17,17,1,1
1,31,29,4,8,12,255,255,53,0,3,3,1,3,0,0
0,60,0,0,2,0,0,0,132,0,27,27,16,27,0,0
0,254,0,0,2,0,0,0,57,2,26,26,18,26,1,1
1,62,252,8,22,20,255,255,323,1,1,1,1,1,3,1
3,254,0,0,2,0,0,0,100,2,2,2,2,2,3,1
0,60,0,0,2,0,0,0,132,0,27,27,27,27,0,0
1,31,30,8,32,32,255,255,67,0,6,4,1,3,0,0
0,31,29,0,2,2,0,0,73,0,3,3,1,1,0,0
0,31,29,0,2,2,0,0,73,0,4,6,2,1,0,0
2,254,0,0,2,0,0,0,90,2,10,10,9,10,4,1
0,254,0,0,2,0,0,0,57,2,43,43,18,43,1,1
0,254,0,0,2,0,0,0,57,2,30,30,21,30,1,1
1,31,29,4,12,12,255,255,89,0,4,5,1,1,0,0
0,31,29,0,4,4,0,0,142,0,7,9,1,2,0,0
1,31,29,2,6,8,255,255,53,0,1,1,1,1,0,0
3,254,0,0,2,0,0,0,100,2,2,2,2,2,4,1
1,62,252,9,24,22,255,255,54,1,1,1,1,4,3,1
0,31,29,0,2,2,0,0,73,0,13,10,3,3,0,0
0,254,0,0,2,0,0,0,57,2,34,34,16,34,1,1
3,254,0,0,2,0,0,0,100,2,4,4,1,4,3,1
0,254,0,0,2,0,0,0,57,2,16,16,16,16,1,1
1,31,29,1,14,6,255,255,638,0,1,1,1,2,0,0
1,254,252,3,10,10,255,255,61,1,7,5,1,1,3,1
0,31,29,0,2,2,0,0,73,0,2,1,1,3,0,0
0,60,0,0,2,0,0,0,132,0,12,12,4,12,0,0
0,31,29,0,2,2,0,0,73,0,1,1,1,1,0,0
1,31,29,26,64,66,255,255,59,0,11,3,1,1,0,0
1,31,29,5,14,18,255,255,120,0,2,2,1,1,0,0
1,31,29,16,44,46,255,255,63,0,5,10,1,1,0,0
0,254,0,0,2,0,0,0,104,2,10,10,7,10,2,1
0,254,0,0,2,0,0,0,57,2,14,15,14,14,1,1
0,31,29,0,4,4,0,0,134,0,8,6,1,5,0,0
1,254,252,1,10,8,255,255,76,1,7,5,2,5,2,1
3,254,0,0,2,0,0,0,100,2,8,8,2,12,2,1
1,31,29,11,34,36,255,255,66,0,9,4,1,1,0,0
0,31,29,0,2,2,0,0,65,0,2,5,2,2,0,0
0,254,0,0,2,0,0,0,57,2,6,6,6,6,1,1
0,31,29,0,2,2,0,0,65,0,3,4,3,4,0,0
1,29,31,1,12,8,255,255,66,0,2,2,1,1,0,0
0,254,0,0,2,0,0,0,532,2,28,30,6,28,2,1
0,254,0,0,2,0,0,0,57,2,32,32,24,32,1,1
0,254,0,0,2,0,0,0,57,2,35,35,31,35,1,1
0,60,0,0,2,0,0,0,132,0,27,27,14,27,0,0
1,62,252,3,8,10,255,255,46,1,1,1,1,2,3,1
70,254,0,0,2,0,0,0,100,2,7,7,3,7,7,1
1,31,29,4,12,12,255,255,89,0,1,2,1,1,0,0
1,31,29,32,122,126,255,255,64,0,17,10,1,6,0,0
1,31,29,2,6,8,255,255,53,0,5,5,1,4,0,0
1,31,29,4,16,18,255,255,96,0,8,11,6,6,0,0
1,31,29,18,48,50,255,255,62,0,6,6,1,1,0,0
0,254,0,0,2,0,0,0,57,2,34,34,16,34,1,1
1,31,29,11,34,36,255,255,66,0,5,4,1,2,0,0
0,254,0,0,2,0,0,0,57,2,50,50,43,50,1,1
0,254,0,0,2,0,0,0,57,2,13,13,13,13,1,1
0,60,0,0,2,0,0,0,132,0,21,21,20,21,0,0
0,254,0,0,2,0,0,0,57,2,29,29,17,29,1,1
1,62,252,8,90,32,255,255,1046,1,1,1,1,1,3,1
0,254,0,0,2,0,0,0,57,2,28,28,25,28,1,1
0,60,0,0,2,0,0,0,132,0,25,25,23,25,0,0
0,254,0,0,2,0,0,0,57,2,21,21,21,21,1,1
0,254,0,0,2,0,0,0,57,2,36,36,36,36,1,1
1,62,252,3,8,10,255,255,46,1,1,1,1,2,3,1
0,60,0,0,2,0,0,0,132,0,19,19,19,19,0,0
0,31,29,0,2,2,0,0,73,0,4,4,3,3,0,0
1,31,29,370,362,746,255,255,53,0,2,3,2,1,0,0
0,254,0,0,2,0,0,0,57,2,7,7,4,4,1,1
1,31,29,7,24,26,255,255,85,0,2,5,1,1,0,0
0,60,0,0,2,0,0,0,132,0,37,37,22,37,0,0
1,31,29,4,16,18,255,255,96,0,7,9,6,6,0,0
1,31,29,8,52,42,255,255,720,0,2,1,1,2,0,0
87,254,0,0,2,0,0,0,100,2,4,4,2,5,3,1
1,31,29,6,22,26,255,255,87,0,9,5,1,2,0,0
54,254,0,0,2,0,0,0,100,2,14,13,5,5,2,1
0,60,0,0,2,0,0,0,132,0,42,42,42,42,0,0
1,31,29,11,34,36,255,255,66,0,7,7,1,6,0,0
0,254,0,0,2,0,0,0,57,2,16,16,8,16,1,1
0,254,0,0,2,0,0,0,57,2,40,40,22,40,1,1
0,254,0,0,2,0,0,0,57,2,16,16,4,4,1,1
1,62,252,7,18,18,255,255,56,1,4,1,1,1,3,1
0,254,0,0,2,0,0,0,57,2,37,37,37,38,1,1
0,254,0,0,2,0,0,0,57,2,18,18,16,18,1,1
0,254,0,0,2,0,0,0,57,2,28,28,9,29,1,1
0,60,0,0,2,0,0,0,132,0,4,4,3,3,0,0
1,31,29,4,14,16,255,255,83,0,6,4,1,1,0,0
1,254,252,1,16,6,255,255,707,1,1,1,1,1,3,1
0,60,0,0,2,0,0,0,132,0,22,22,22,22,0,0
1,31,29,15,40,44,255,255,64,0,3,2,1,1,0,0
1,31,29,1,14,8,255,255,638,0,3,6,1,5,0,0
0,254,0,0,2,0,0,0,57,2,27,27,9,27,1,1
0,254,0,0,2,0,0,0,57,2,16,16,16,16,1,1
0,254,0,0,2,0,0,0,57,2,36,36,17,36,1,1
0,254,0,0,2,0,0,0,57,2,42,42,42,42,1,1
0,254,0,0,2,0,0,0,57,2,7,7,4,4,1,1
1,62,252,12,20,28,255,255,54,1,1,16,1,1,3,1
84,254,0,0,4,0,0,0,100,2,3,3,2,3,4,1
0,254,0,0,2,0,0,0,57,2,15,15,12,15,1,1
1,31,29,1,14,8,255,255,638,0,3,3,1,4,0,0
0,254,0,0,2,0,0,0,57,2,33,33,13,33,1,1
1,254,252,6,24,18,255,255,100,1,4,3,3,3,2,1
5,0,0,0,1,0,0,0,46,2,2,2,2,2,0,0
0,254,0,0,2,0,0,0,57,2,40,40,25,40,1,1
1,31,29,24,60,62,255,255,60,0,6,5,1,1,0,0
0,31,29,0,2,2,0,0,73,0,3,2,2,1,0,0
0,254,0,0,2,0,0,0,57,2,39,39,16,39,1,1
0,254,0,0,2,0,0,0,57,2,18,18,1,18,1,1
1,254,252,1,10,8,255,255,56,1,1,1,1,1,5,1
0,31,29,0,2,2,0,0,73,0,1,1,1,1,0,0
1,31,29,26,64,66,255,255,59,0,13,7,1,6,0,0
3,254,0,0,2,0,0,0,100,2,9,9,5,13,4,1
1,31,29,22,56,58,255,255,61,0,14,6,1,4,0,0
0,254,0,0,2,0,0,0,57,2,20,20,9,20,1,1
1,31,29,7,18,20,255,255,249,0,9,6,1,3,0,0
0,254,0,0,2,0,0,0,57,2,13,13,4,4,1,1
0,254,0,0,2,0,0,0,57,2,20,20,16,20,1,1
1,31,29,5,14,18,255,255,120,0,11,10,5,5,0,0
1,254,252,1,10,6,255,255,84,1,3,1,1,1,3,1
1,31,29,71,92,164,255,255,62,0,11,16,6,7,0,0
1,31,29,354,350,730,255,255,53,0,35,32,35,29,0,0
1,31,29,5,12,18,255,255,132,0,2,2,2,5,0,0
1,31,29,4,10,10,255,255,99,0,3,1,2,1,0,0
0,32,0,0,1,0,0,0,73,0,3,3,3,4,0,0
0,254,0,0,2,0,0,0,57,2,27,27,8,27,1,1
0,254,0,0,2,0,0,0,57,2,20,20,18,20,1,1
1,31,29,8,52,40,255,255,716,0,3,1,2,2,0,0
0,254,0,0,2,0,0,0,57,2,32,32,14,32,1,1
0,31,29,0,2,2,0,0,73,0,1,4,1,2,0,0
1,31,29,21,54,56,255,255,61,0,5,11,1,1,0,0
0,254,0,0,2,0,0,0,57,2,34,34,9,34,1,1
0,60,0,0,2,0,0,0,132,0,37,37,13,37,0,0
1,31,29,4,8,12,255,255,53,0,2,4,1,3,0,0
0,254,0,0,2,0,0,0,57,2,31,31,17,31,1,1
1,31,29,7,18,18,255,255,226,0,4,7,1,4,0,0
1,31,29,15,42,44,255,255,63,0,3,3,1,1,0,0
1,31,29,4,16,18,255,255,96,0,13,16,4,6,0,0
1,31,29,16,44,46,255,255,63,0,7,3,1,1,0,0
0,60,0,0,2,0,0,0,132,0,23,23,20,23,0,0
0,254,0,0,2,0,0,0,57,2,24,24,11,24,1,1
0,31,29,0,4,4,0,0,142,0,11,9,1,3,0,0
3,254,0,0,2,0,0,0,100,2,3,3,1,3,1,1
0,60,0,0,2,0,0,0,132,0,8,8,6,6,0,0
0,254,0,0,2,0,0,0,57,2,12,12,11,12,1,1
0,254,0,0,2,0,0,0,57,2,33,33,13,33,1,1
0,254,0,0,2,0,0,0,57,2,11,9,11,9,1,1
23,254,0,0,2,0,0,0,100,2,8,8,3,9,4,1
117,64,0,0,4,0,0,0,356,0,2,2,1,2,0,0
0,31,29,0,2,2,0,0,65,0,2,4,1,1,0,0
0,254,0,0,2,0,0,0,57,2,33,33,17,33,1,1
0,254,0,0,2,0,0,0,57,2,27,27,12,27,1,1
0,254,0,0,2,0,0,0,57,2,26,26,20,26,1,1
1,31,29,17,46,48,255,255,62,0,12,11,1,1,0,0
3,254,0,0,2,0,0,0,100,2,3,3,1,3,4,1
1,31,29,16,44,46,255,255,63,0,6,10,1,2,0,0
0,254,0,0,2,0,0,0,57,2,29,29,18,29,1,1
1,31,29,30,72,74,255,255,59,0,19,8,3,5,0,0
0,254,0,0,2,0,0,0,57,2,26,26,16,26,1,1
0,254,0,0,2,0,0,0,57,2,38,38,38,38,1,1
0,31,29,0,4,4,0,0,132,0,7,4,1,3,0,0
0,31,29,0,4,4,0,0,136,0,9,9,1,3,0,0
1,31,29,15,44,44,255,255,63,0,5,5,1,1,0,0
1,31,29,4,8,12,255,255,53,0,13,8,1,2,0,0
0,60,0,0,2,0,0,0,132,0,13,13,13,13,0,0
0,60,0,0,2,0,0,0,132,0,9,9,9,9,0,0
0,254,0,0,2,0,0,0,57,2,23,23,23,23,1,1
0,64,0,0,2,0,0,0,252,0,60,60,60,60,0,0
1,31,29,4,8,12,255,255,53,0,2,2,1,1,0,0
1,62,252,2,8,8,255,255,46,1,1,1,1,2,3,1
1,31,29,20,52,54,255,255,61,0,2,3,1,1,0,0
1,62,252,8,24,20,255,255,237,1,2,1,1,1,3,1
1,31,29,17,46,48,255,255,62,0,9,3,1,1,0,0
0,254,0,0,2,0,0,0,57,2,17,17,8,17,1,1
0,254,0,0,2,0,0,0,57,2,34,34,18,34,1,1
0,254,0,0,2,0,0,0,57,2,14,14,7,7,1,1
0,60,0,0,2,0,0,0,132,0,37,37,24,37,0,0
1,31,29,7,18,18,255,255,235,0,9,12,1,4,0,0
0,254,0,0,2,0,0,0,57,2,37,37,13,37,1,1
0,31,29,0,2,2,0,0,65,0,5,4,2,1,0,0
0,254,0,0,2,0,0,0,57,2,31,31,24,31,1,1
1,31,29,8,52,42,255,255,717,0,8,9,2,5,0,0
1,31,29,15,42,44,255,255,63,0,5,9,1,1,0,0
3,254,0,0,2,0,0,0,100,2,9,9,3,12,4,1
0,254,0,0,2,0,0,0,57,2,32,32,22,37,1,1
1,31,29,32,122,126,255,255,64,0,6,4,1,1,0,0
0,254,0,0,2,0,0,0,57,2,44,44,13,44,1,1
1,31,29,4,16,18,255,255,96,0,8,9,6,6,0,0
1,31,29,8,52,38,255,255,719,0,1,1,1,2,0,0
0,254,0,0,2,0,0,0,57,2,19,19,19,19,1,1
0,254,0,0,2,0,0,0,57,2,34,34,22,34,1,1
0,254,0,0,2,0,0,0,57,2,25,25,25,25,1,1
1,31,29,16,44,46,255,255,63,0,11,9,1,7,0,0
0,254,0,0,2,0,0,0,57,2,22,22,18,22,1,1
0,254,0,0,2,0,0,0,57,2,36,36,36,36,1,1
1,31,29,32,122,126,255,255,64,0,1,4,1,1,0,0
1,31,29,12,36,38,255,255,65,0,3,1,1,1,0,0
1,62,252,2,10,8,255,255,85,1,1,4,1,21,3,1
0,60,0,0,2,0,0,0,132,0,40,40,21,40,0,0
0,254,0,0,2,0,0,0,57,2,11,11,11,11,1,1
1,31,29,5,14,18,255,255,120,0,3,1,1,1,0,0
0,254,0,0,2,0,0,0,57,2,15,15,7,7,1,1
1,62,252,2,10,10,255,255,82,1,2,2,1,3,7,1
1,254,252,1,10,6,255,255,252,1,4,3,1,3,0,0
1,254,252,1,10,8,255,255,56,1,2,8,1,1,5,1
0,254,0,0,2,0,0,0,57,2,13,13,13,13,1,1
0,31,29,0,2,2,0,0,65,0,1,2,1,2,0,0
0,60,0,0,2,0,0,0,132,0,30,30,25,30,0,0
0,31,29,0,4,4,0,0,134,0,19,15,1,2,0,0
1,31,29,28,68,70,255,255,59,0,7,7,1,1,0,0
0,31,29,0,2,2,0,0,73,0,2,4,1,2,0,0
0,31,29,0,2,2,0,0,65,0,4,4,1,3,0,0
0,31,29,0,2,2,0,0,73,0,1,1,1,1,0,0
1,254,252,1,60,14,255,255,1136,1,2,1,1,1,2,1
0,254,0,0,2,0,0,0,57,2,10,10,3,3,1,1
1,31,29,13,38,40,255,255,64,0,2,6,1,1,0,0
1,31,29,8,54,42,255,255,702,0,1,1,1,1,0,0
0,254,0,0,2,0,0,0,57,2,32,32,32,32,1,1
1,62,252,2,10,8,255,255,87,1,1,1,1,1,0,0
0,254,0,0,2,0,0,0,57,2,48,48,21,48,1,1
1,62,252,2,10,8,255,255,79,1,2,2,1,2,4,1
1,31,29,6,22,24,255,255,89,0,10,2,2,6,0,0
0,254,0,0,2,0,0,0,41,2,1,1,1,1,4,1
0,254,0,0,2,0,0,0,57,2,21,21,18,21,1,1
1,62,252,4,10,14,255,255,84,1,1,1,1,1,3,1
1,254,252,1,10,8,255,255,56,1,9,1,1,1,5,1
76,254,0,0,2,0,0,0,100,2,6,6,2,6,4,1
1,31,29,27,66,68,255,255,59,0,3,3,1,2,0,0
0,60,0,0,2,0,0,0,132,0,34,34,19,34,0,0
0,31,29,0,2,2,0,0,73,0,1,2,1,1,0,0
0,254,0,0,2,0,0,0,57,2,32,32,12,32,1,1
1,31,29,14,40,42,255,255,64,0,7,4,1,1,0,0
1,31,29,18,48,50,255,255,62,0,4,6,1,1,0,0
0,254,0,0,2,0,0,0,57,2,29,29,22,29,1,1
1,254,252,4,14,12,255,255,48,1,1,1,1,2,3,1
1,31,29,26,64,66,255,255,59,0,7,2,1,1,0,0
3,254,0,0,2,0,0,0,100,2,3,3,2,3,3,1
58,254,0,0,2,0,0,0,100,2,5,5,3,5,4,1
1,62,252,2,10,8,255,255,81,1,3,3,1,4,1,1
1,31,29,7,32,26,255,255,117,0,1,1,1,1,0,0
1,31,29,16,44,48,255,255,63,0,6,8,1,1,0,0
0,254,0,0,2,0,0,0,57,2,37,37,37,37,1,1
1,31,29,1,14,8,255,255,638,0,3,3,1,3,0,0
0,31,29,0,2,2,0,0,73,0,3,2,1,1,0,0
0,254,0,0,2,0,0,0,57,2,31,31,15,31,1,1
1,254,252,1,10,8,255,255,56,1,1,1,1,1,5,1
0,31,29,0,2,2,0,0,73,0,3,2,1,2,0,0
0,31,29,0,4,4,0,0,142,0,6,8,1,3,0,0
1,31,29,31,101,112,255,255,89,0,1,1,1,1,0,0
1,31,29,5,14,18,255,255,120,0,1,4,1,1,0,0
1,31,29,27,66,68,255,255,59,0,3,3,1,1,0,0
1,31,29,1,14,6,255,255,638,0,2,2,1,4,0,0
1,31,30,7,37,26,255,255,64,0,5,2,1,2,0,0
0,254,0,0,2,0,0,0,57,2,34,34,20,34,1,1
1,254,252,2,10,10,255,255,117,1,5,5,3,5,1,1
0,254,0,0,2,0,0,0,84,2,2,1,1,1,5,1
1,62,252,8,22,20,255,255,179,1,1,1,1,1,3,1
0,60,0,0,2,0,0,0,132,0,20,20,14,20,0,0
0,254,0,0,2,0,0,0,57,2,25,25,23,25,1,1
0,254,0,0,2,0,0,0,57,2,37,37,20,37,1,1
1,254,252,1,12,8,255,255,390,1,5,3,3,3,2,1
13,1,0,0,6,0,0,0,64,0,2,4,2,2,0,0
1,31,29,42,96,100,255,255,57,0,7,3,1,1,0,0
0,254,0,0,2,0,0,0,57,2,16,16,16,16,1,1
1,31,29,13,38,40,255,255,64,0,5,7,1,1,0,0
0,254,0,0,2,0,0,0,57,2,31,31,24,31,1,1
0,31,29,0,2,2,0,0,73,0,4,3,1,1,0,0
1,31,29,12,36,38,255,255,65,0,7,3,1,1,0,0
0,31,29,0,4,4,0,0,142,0,7,4,1,3,0,0
1,62,252,3,10,12,255,255,78,1,2,1,1,1,3,1
0,254,0,0,2,0,0,0,57,2,18,18,18,18,1,1
0,254,0,0,2,0,0,0,57,2,29,29,18,29,1,1
0,254,0,0,2,0,0,0,57,2,40,40,20,40,1,1
1,31,29,28,68,70,255,255,59,0,4,2,1,1,0,0
0,254,0,0,2,0,0,0,533,2,20,20,4,20,0,0
0,254,0,0,2,0,0,0,57,2,35,35,17,35,1,1
1,31,29,16,44,46,255,255,63,0,11,5,1,1,0,0
0,31,29,0,4,4,0,0,142,0,6,4,1,1,0,0
0,60,0,0,2,0,0,0,132,0,29,29,11,29,0,0
0,254,0,0,2,0,0,0,57,2,13,13,13,13,1,1
3,254,0,0,2,0,0,0,100,2,3,3,2,3,3,1
1,62,252,7,18,18,255,255,57,1,1,1,1,1,3,1
0,254,0,0,2,0,0,0,57,2,31,31,24,31,1,1
0,254,0,0,2,0,0,0,57,2,33,33,16,33,1,1
1,31,29,32,122,126,255,255,64,0,12,7,1,2,0,0
0,254,0,0,2,0,0,0,57,2,23,23,17,23,1,1
0,31,29,0,2,2,0,0,73,0,2,3,2,1,0,0
1,31,29,7,28,30,255,255,171,0,8,5,1,3,0,0
0,254,0,0,2,0,0,0,57,2,44,44,24,44,1,1
0,254,0,0,2,0,0,0,57,2,43,43,18,43,1,1
0,254,0,0,2,0,0,0,57,2,45,45,19,45,1,1
0,60,0,0,2,0,0,0,132,0,35,35,14,35,0,0
0,31,29,0,4,4,0,0,134,0,3,6,1,4,0,0
0,254,0,0,2,0,0,0,57,2,31,31,20,31,1,1
0,254,0,0,2,0,0,0,57,2,20,20,18,20,1,1
0,254,0,0,2,0,0,0,936,2,15,15,11,15,2,1
0,254,0,0,2,0,0,0,57,2,25,25,20,25,1,1
0,254,0,0,2,0,0,0,57,2,33,33,16,33,1,1
0,254,0,0,2,0,0,0,57,2,30,30,13,30,1,1
0,254,0,0,2,0,0,0,57,2,35,35,34,35,1,1
0,254,0,0,2,0,0,0,57,2,37,37,15,37,1,1
0,31,29,0,2,2,0,0,73,0,1,1,1,1,0,0
0,31,29,0,4,2,0,0,142,0,8,13,1,2,0,0
0,254,0,0,2,0,0,0,57,2,59,59,58,59,1,1
68,254,0,0,2,0,0,0,100,2,4,4,3,4,7,1
1,31,29,4,16,18,255,255,96,0,9,7,6,7,0,0
0,31,29,0,2,2,0,0,73,0,3,2,2,1,0,0
0,31,29,0,2,2,0,0,65,0,1,1,1,1,0,0
1,31,29,7,18,18,255,255,244,0,4,8,1,3,0,0
0,31,29,0,2,2,0,0,65,0,3,2,2,1,0,0
1,31,29,31,106,114,255,255,89,0,1,1,1,1,0,0
1,31,29,39,90,92,255,255,57,0,5,2,1,1,0,0
1,62,252,2,10,10,255,255,85,1,1,1,1,1,3,1
0,254,0,0,2,0,0,0,57,2,7,7,4,4,1,1
0,254,0,0,2,0,0,0,57,2,29,29,15,29,1,1
0,254,0,0,2,0,0,0,57,2,27,27,21,27,1,1
0,31,29,0,2,2,0,0,73,0,3,4,1,3,0,0
1,31,29,13,38,40,255,255,64,0,14,3,1,1,0,0
0,254,0,0,2,0,0,0,57,2,24,24,24,24,1,1
0,31,29,0,2,2,0,0,65,0,2,2,1,1,0,0
0,254,0,0,2,0,0,0,57,2,17,17,17,17,1,1
0,254,0,0,2,0,0,0,57,2,34,34,10,34,1,1
0,60,0,0,2,0,0,0,132,0,29,29,23,29,0,0
1,31,29,2,6,8,255,255,53,0,6,6,1,3,0,0
1,31,29,30,72,74,255,255,59,0,21,12,3,3,0,0
1,31,29,4,16,18,255,255,96,0,11,10,6,5,0,0
0,254,0,0,2,0,0,0,57,2,41,41,21,41,1,1
1,62,252,2,10,8,255,255,78,1,1,1,1,1,3,1
1,31,29,8,54,42,255,255,701,0,1,2,1,1,0,0
0,254,0,0,2,0,0,0,57,2,7,7,3,3,1,1
0,254,0,0,2,0,0,0,57,2,32,32,16,32,1,1
0,60,0,0,2,0,0,0,132,0,30,30,19,30,0,0
0,254,0,0,2,0,0,0,84,2,2,2,1,2,5,1
1,31,29,7,28,30,255,255,174,0,7,4,1,3,0,0
1,31,29,12,36,38,255,255,65,0,4,1,1,1,0,0
1,31,29,7,26,28,255,255,171,0,22,20,3,10,0,0
1,31,29,36,84,86,255,255,58,0,13,6,1,1,0,0
1,254,252,1,10,6,255,255,68,1,1,1,1,1,8,1
0,31,29,0,2,2,0,0,73,0,2,3,1,1,0,0
0,254,0,0,2,0,0,0,57,2,17,17,17,17,1,1
0,254,0,0,2,0,0,0,57,2,37,37,18,37,1,1
1,31,29,6,22,24,255,255,87,0,6,6,1,2,0,0
0,31,29,0,2,2,0,0,73,0,1,3,1,1,0,0
0,254,0,0,2,0,0,0,57,2,27,27,27,27,1,1
1,31,29,12,36,38,255,255,65,0,4,6,1,1,0,0
0,254,0,0,2,0,0,0,57,2,24,24,24,24,1,1
0,254,0,0,2,0,0,0,57,2,7,7,4,4,1,1
0,60,0,0,2,0,0,0,132,0,27,27,22,27,0,0
12,254,0,0,2,0,0,0,39,2,1,1,1,1,3,1
1,31,29,5,14,18,255,255,120,0,1,3,1,2,0,0
1,31,29,2,6,8,255,255,53,0,3,3,1,4,0,0
1,254,252,1,60,14,255,255,1136,1,3,3,1,3,0,0
1,31,29,5,14,18,255,255,120,0,3,6,3,3,0,0
0,254,0,0,2,0,0,0,57,2,39,39,20,39,1,1
1,31,29,5,14,18,255,255,120,0,1,1,1,2,0,0
109,254,0,0,2,0,0,0,90,2,10,10,10,10,3,1
0,31,29,0,2,2,0,0,73,0,1,3,1,1,0,0
1,31,29,6,34,26,255,255,144,0,4,6,1,1,0,0
3,254,0,0,2,0,0,0,100,2,5,5,3,5,4,1
1,31,29,17,64,60,255,255,94,0,2,1,1,1,0,0
0,254,0,0,2,0,0,0,532,2,36,35,13,35,2,1
0,31,29,0,2,2,0,0,73,0,2,4,1,1,0,0
0,254,0,0,2,0,0,0,57,2,25,25,23,25,1,1
0,254,0,0,2,0,0,0,57,2,27,27,24,27,1,1
0,254,0,0,2,0,0,0,52,2,5,5,2,2,2,1
